a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
4.830937749717199121e-04,1.048271603119326650e-05,3.076960883434175979e-06,1.300000000000000000e+01,3.556518624813915716e-03,-6.455797889421967284e+02,1.642158556646791396e+02,9.803212764315170080e-01
4.761979083908682579e-04,1.199234963298809017e-05,3.608441235370814736e-06,1.700000000000000000e+01,4.419268728219748026e-03,-2.187054579727014527e+02,1.311950593578416999e+02,9.972990566290902414e-01
4.173375728974870378e-04,9.960253158344874411e-06,3.959743294838051113e-06,1.700000000000000000e+01,3.963085358031813270e-03,-2.486935775540756879e+02,1.610461282225085995e+02,9.977112680920551258e-01
4.008555067804777002e-04,1.074390284571423661e-05,4.595223402995593674e-06,1.200000000000000000e+01,3.493698438100665063e-03,-2.203749964628976841e+02,2.629553355654777533e+02,9.993711833552512136e-01
4.770304598754519874e-04,8.866572119111567927e-06,3.894858947143798265e-06,1.500000000000000000e+01,3.795225861783730909e-03,-1.010940562898941153e+03,1.599266275324841899e+02,9.190064723871517183e-01
5.618117062530117532e-04,1.142756978726228826e-05,4.210227147049349253e-06,1.400000000000000000e+01,3.858718872305961101e-03,-6.257739299097054300e+02,1.507081170249613251e+02,9.773366576896392877e-01
4.612347661899272953e-04,9.211210893695502588e-06,3.731607272431294881e-06,1.200000000000000000e+01,3.457526275448020124e-03,-8.250871517388877692e+02,2.063678280526407036e+02,9.794521182917399482e-01
4.467386045788413265e-04,1.057363244378739243e-05,4.900065188233574660e-06,1.500000000000000000e+01,4.528646822038976706e-03,-2.460514100236461843e+02,1.835267800933061437e+02,9.983099246949795891e-01
4.871967727568339611e-04,1.036015021465154490e-05,3.059402784110066664e-06,1.800000000000000000e+01,3.601073475059181437e-03,-5.262493552498464169e+02,1.169642500859599181e+02,9.719413122866534804e-01
4.323705095760740544e-04,9.368213845679480170e-06,3.777709074175354395e-06,1.600000000000000000e+01,4.904638768741552413e-03,-3.771662303381239099e+02,1.527672866532534499e+02,9.935407959996993554e-01
4.178051809259349211e-04,1.144131322651188102e-05,4.735340933556408683e-06,1.700000000000000000e+01,3.639058953753189409e-03,-1.417745017804108727e+02,1.792708354296582343e+02,9.994425724096061003e-01
4.904559090177729392e-04,1.105788303895541603e-05,4.466687836613030217e-06,1.300000000000000000e+01,3.464558583174329100e-03,-3.922096745766502295e+02,1.959170100813753379e+02,9.959654847631286279e-01
4.454447677882978100e-04,9.803201142141002738e-06,3.188060668783877392e-06,1.300000000000000000e+01,4.451209037716228820e-03,-5.265417168030926405e+02,1.720741647852262304e+02,9.893646135450725465e-01
4.235545830208084202e-04,8.711731717688407100e-06,3.830607216092335201e-06,1.900000000000000000e+01,3.890119339978946947e-03,-4.101482755189160798e+02,1.402415615012955072e+02,9.904428863895373691e-01
4.993878114948553703e-04,9.863182615791864848e-06,4.028559837889778208e-06,1.800000000000000000e+01,3.547404674762044945e-03,-5.599582111560963540e+02,1.313473916446619114e+02,9.757109056805089997e-01
4.273489407390258245e-04,9.263044726955503046e-06,4.551147959382124032e-06,1.800000000000000000e+01,3.843529207856933097e-03,-3.059198087987131771e+02,1.603589914679035928e+02,9.963727526057446493e-01
4.483108906416194243e-04,8.688732037787206573e-06,3.684875746560219517e-06,1.700000000000000000e+01,3.644121810524412509e-03,-6.746363990452281314e+02,1.473372409091784334e+02,9.705665791637683171e-01
5.436456274088433474e-04,1.050958093017342258e-05,4.523792840461840549e-06,1.600000000000000000e+01,3.721692517811898797e-03,-6.461362400772414958e+02,1.423928554228795065e+02,9.712839881766495154e-01
4.554474768446951233e-04,1.178392678335757942e-05,3.514206709565680200e-06,1.400000000000000000e+01,3.860018880985648364e-03,-2.514293209657678290e+02,1.698310272520783712e+02,9.979099700018218000e-01
4.501061852638702475e-04,9.002714261912191980e-06,4.008596451668249682e-06,1.600000000000000000e+01,3.562638691829851136e-03,-5.542263023776270074e+02,1.633942794667684097e+02,9.863762707306530375e-01
5.308213022453059371e-04,1.158878430831897244e-05,4.565255203132678779e-06,1.600000000000000000e+01,4.016664491203011944e-03,-3.522128321999554714e+02,1.439979794941928617e+02,9.936766354778274746e-01
4.039517586252856871e-04,1.047375194734888086e-05,3.939087638991191554e-06,1.700000000000000000e+01,3.501716179224929806e-03,-1.910860062651697717e+02,1.704579983349490817e+02,9.988437519849915347e-01
4.791658238692240741e-04,1.005534344026118613e-05,3.573651822620982002e-06,1.500000000000000000e+01,4.177073115618956146e-03,-5.332243894495272798e+02,1.491415584127250042e+02,9.844971316360474622e-01
4.487928534590369446e-04,9.868943979252625930e-06,4.538749763656281599e-06,1.400000000000000000e+01,4.920867240839134869e-03,-3.551520996581510303e+02,1.841988524546189865e+02,9.962868662756093618e-01
5.247296376867182461e-04,1.157879402116791773e-05,3.419193797925331048e-06,1.500000000000000000e+01,4.095971648351190778e-03,-4.667573286093751221e+02,1.338483252666567580e+02,9.854214844324297173e-01
4.852349297437026773e-04,1.012127314304037855e-05,3.479621520637057960e-06,1.400000000000000000e+01,3.974032853277574204e-03,-6.194070424401083983e+02,1.575654614601328944e+02,9.803235598034143461e-01
4.497883481117358456e-04,1.040834578538297018e-05,4.984768674689378710e-06,1.400000000000000000e+01,4.594813140763705922e-03,-2.813396264889275926e+02,1.962327267112999607e+02,9.980491531552767581e-01
5.746788508417728127e-04,1.194033996469267598e-05,3.798826535024670007e-06,1.500000000000000000e+01,4.851213278316021324e-03,-5.749113509875728596e+02,1.233155608113727908e+02,9.690692123972766137e-01
4.267604727505559196e-04,1.048918738141464905e-05,4.050279681563529626e-06,1.500000000000000000e+01,4.439370994139052104e-03,-2.442032928068769593e+02,1.755717783994399497e+02,9.981717763291887424e-01
4.427876182865992608e-04,1.129425886769439972e-05,3.313140455538457564e-06,1.500000000000000000e+01,3.836033020428208581e-03,-2.562074318740770309e+02,1.585299285186174529e+02,9.974746630451744034e-01
5.299913270105104145e-04,1.000807221231405308e-05,4.198815169710557099e-06,1.300000000000000000e+01,4.789818114190752714e-03,-9.726157107785933249e+02,1.627720283957806089e+02,9.339531832342903295e-01
5.930841787255614929e-04,1.151023601943767361e-05,4.755797723219093285e-06,1.400000000000000000e+01,4.288110762515822544e-03,-7.059819011852313224e+02,1.479700199857168457e+02,9.670111306177756605e-01
5.291769700359928458e-04,1.081047661501113643e-05,3.508151494285607384e-06,1.600000000000000000e+01,3.083063790745675572e-03,-6.887560686696450603e+02,1.335602199900858125e+02,9.587213134737686548e-01
